artist,track,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
mura masa,love$ick - four tet remix,0.692,0.917,-5.16,0.0693,0.117,0.155,0.361,0.408,89.008,3
com truise,propagation,0.564,0.669,-8.474,0.0413,0.0423,0.73,0.125,0.306,178.04,4
daphni,carry on,0.801,0.571,-10.419,0.0574,0.177,0.905,0.107,0.702,119.993,4
project pablo,closer,0.731,0.945,-7.84,0.0566,0.171,0.916,0.135,0.223,122.02,4
kelela,lmk,0.595,0.61,-7.007,0.033,0.091,0.0,0.16,0.504,99.529,3
jim-e stack,deadstream - rostam version,0.741,0.76,-8.73,0.0796,0.266,0.000451,0.108,0.679,123.974,3
keiyaa,rectifiya,0.663,0.424,-15.843,0.034,0.229,0.558,0.0939,0.895,136.77,4
acemo,time travelin',0.733,0.834,-8.367,0.0382,0.346,0.0303,0.137,0.379,146.761,3
actress,turin,0.794,0.278,-10.773,0.0977,0.00144,0.0491,0.102,0.138,125.056,6
logic1000,perfume - edit,0.787,0.781,-7.209,0.0382,1.25e-05,0.181,0.131,0.123,127.998,0
galcher lustwerk,cig angel,0.862,0.318,-10.865,0.0802,0.0847,0.0648,0.102,0.751,114.387,3
kedr livanskiy,sky kisses (на танцполе),0.746,0.613,-10.335,0.0457,0.007,0.63,0.1,0.614,125.018,4
ross from friends,john cage,0.69,0.615,-9.753,0.0457,0.0306,0.562,0.0744,0.529,107.938,4
the internet,"palace/curse (feat. tyler, the creator & steve lacy)",0.447,0.625,-8.212,0.323,0.0351,0.000727,0.243,0.261,67.104,2
tirzah,i'm not dancing,0.938,0.679,-7.008,0.204,0.183,0.67,0.0967,0.682,119.934,4
andy stott,faith in strangers,0.657,0.692,-10.121,0.0526,0.0286,0.894,0.11,0.164,136.995,4
tirzah,holding on,0.789,0.437,-10.471,0.0338,0.035,0.00336,0.12,0.634,120.013,3
yves tumor,strawberry privilege,0.751,0.528,-10.874,0.0495,0.5,0.799,0.125,0.342,117.969,4
haider,why so blue? - radio edit,0.689,0.398,-12.612,0.0405,0.0277,0.842,0.207,0.317,128.028,4
박혜진 park hye jin,can you - galcher lustwerk remix,0.78,0.814,-8.853,0.108,0.0144,0.818,0.1,0.801,139.992,4
sophie,bipp - autechre mx,0.859,0.398,-11.742,0.0624,0.000997,0.0125,0.101,0.41,104.287,3
photay,outré lux (feat. madison mcferrin),0.572,0.319,-12.807,0.0745,0.737,0.338,0.226,0.133,119.707,6
박혜진 park hye jin,like this,0.704,0.542,-11.167,0.0355,0.164,0.909,0.0779,0.18,125.06,4
metronomy,the light - kero kero bonito remix,0.91,0.656,-6.094,0.0811,0.171,0.00192,0.236,0.76,130.025,3
vegyn,debold,0.553,0.711,-9.035,0.0664,0.727,0.855,0.121,0.388,120.317,4
vegyn,it's nice to be alive,0.648,0.66,-7.129,0.0379,0.804,0.839,0.0881,0.513,126.033,4
yaeji,waking up down,0.825,0.458,-8.26,0.0577,0.0124,0.794,0.129,0.41,125.041,4
yaeji,spell 주문,0.818,0.397,-11.928,0.257,0.0667,4.7e-05,0.0923,0.527,129.954,3
mount kimbie,you took your time (kyle hall remix),0.832,0.698,-12.313,0.22,0.193,0.863,0.0566,0.418,132.611,4
